Día,Tiempo,Ingrediente,Porción
Monday,Breakfast,filete de res a la plancha,150g
Monday,Breakfast,nopales cocidos a la mexicana,1tza
Monday,Breakfast,tostada homeada,2pza
Monday,Snack M,10 almendras,nan
Monday,Snack M,piña,1tza
Monday,Lunch,filete de pollo o res en salsa verde,150g
Monday,Lunch,chayote y zanahoria,nan
Monday,Lunch,tortilla de maíz,2pza
Monday,Snack V,jicama,1tza
Monday,Dinner,atún en ensalada,2lata
Monday,Dinner,tostada homeada,2pza
Tuesday,Breakfast,panela a la plancha,150g
Tuesday,Breakfast,calabacitas guisadas con jitomate,1tza
Tuesday,Breakfast,cebolla,nan
Tuesday,Breakfast,aceite de olivo,1ctda
Tuesday,Breakfast,tostada homeadas,2pza
Tuesday,Snack M,nuez,7mitades
Tuesday,Snack M,manzana,1pza
Tuesday,Lunch,filete de pescado a la plancha,150g
Tuesday,Lunch,ensalada de lechuga,3tza
Tuesday,Lunch,zanahoria rallada,nan
Tuesday,Lunch,espinacas 2cditas de aceite de olivo,nan
Tuesday,Lunch,sopa de arroz,1/2tza
Tuesday,Snack V,pepinos,3tza
Tuesday,Dinner,huevos en omelete con 1tza de espinacas (1ctda de aceite de olivo),3pza
Tuesday,Dinner,tortilla de maíz,1pza
Wednesday,Breakfast,huevos con 2rbn de pechuga de pavo (1ctdita de aceite de olivo),3pza
Wednesday,Breakfast,agua,1tza
Wednesday,Breakfast,espinacas,nan
Wednesday,Breakfast,apio,nan
Wednesday,Breakfast,perejil,nan
Wednesday,Breakfast,manzana y 3cdas avena,1/2tza
Wednesday,Snack M,cacahuate natural,20pza
Wednesday,Snack M,naranja,2pza
Wednesday,Lunch,Filete de res a la plancha,150g
Wednesday,Lunch,ensalada de nopales cocidos a la mexicana,1tza
Wednesday,Lunch,tortilla de maíz,2pza
Wednesday,Snack V,jicama,1tza
Wednesday,Dinner,pechuga de pollo a la plancha,150g
Wednesday,Dinner,jicama,1tza
Wednesday,Dinner,tostadas homeada,2pza
Thursday,Breakfast,molida de res guisadas con 1tza de espinaca,120g
Thursday,Breakfast,cebolla y jitomate,nan
Thursday,Breakfast,al gusto (1ctda de aceite de olivo),nan
Thursday,Breakfast,tostada homeadas,2pza
Thursday,Snack M,10 almendras,nan
Thursday,Snack M,fresa o frutos rojos,1tza
Thursday,Lunch,atún,2latas
Thursday,Lunch,tostada homeada,2pza
Thursday,Snack V,pepinos,3tza
Thursday,Dinner,huevos revueltos con 2rbn de pechuga de pavo (1ctda de aceite de olivo),3pza
Thursday,Dinner,tortilla de maíz,1pza
Friday,Breakfast,huevos a la mexicana,3pza
Friday,Breakfast,avena cocida con leche de coco o almendras,1/2tza
Friday,Breakfast,canela al gusto,nan
Friday,Snack M,nuez,7mitades
Friday,Snack M,papaya,1pza
Friday,Lunch,ceviche de pescado,150g
Friday,Lunch,tostadas homeadas,4pza
Friday,Snack V,zanahoria baby,7pza
Friday,Dinner,sopa de lentejas con 120g de pollo,1/2tza
Friday,Dinner,salsa mexicana,1tza
Saturday,Breakfast,pechuga de pollo deshebrada,120g
Saturday,Breakfast,guisada con 1tza de calabacitas y 1ctda de aceite de olivo,nan
Saturday,Breakfast,tostada homeadas,2pza
Saturday,Snack M,cacahuate natural,20pza
Saturday,Snack M,melón,1tza
Saturday,Lunch,falda de res cocida deshebrada,150g
Saturday,Lunch,tostada homeada,4pza
Saturday,Snack V,jicama,1tza
Saturday,Dinner,panela a la plancha,150g
Saturday,Dinner,nopales cocidos a la mexicana,1tza
Saturday,Dinner,tortilla de maíz,1pza
